episodes_,mean_
50,27.25
100,27.05
150,25.55
200,25.35
250,25.75
300,27.35
350,29
400,26.85
450,28.35
500,27.85
550,27.95
600,27.65
650,30.4
700,30.65
750,25.85
800,29.15
850,29.45
900,32.45
950,30.7
1000,31.5
1050,32.05
1100,33.1
1150,30.55
1200,31.5
1250,30.05
1300,36.7
1350,34.65
1400,36.55
1450,32.7
1500,33.65
1550,33.55
1600,34.2
1650,39.9
1700,35.15
1750,36.15
1800,36.75
1850,37.8530.65
1900,38.3
1950,41.1
2000,49.25
2050,43.9
2100,36.65
2150,41.6
2200,45.7
2250,50.7
2300,54.6
2350,47.5
2400,40.65
2450,51.1
2500,46.7
2550,51.65
2600,51.8
2650,53.65
2700,52.8
2750,56.05
2800,54
2850,57.45
2900,61.75
2950,56.35
3000,70.1
3050,66.5
3100,68.2
