episodes_,mean_,max_,min_
20.0,24.4,32.0,18.0
40.0,22.4,29.0,18.0
60.0,27.4,30.0,24.0
80.0,25.6,32.0,19.0
100.0,26.0,30.0,22.0
120.0,27.0,32.0,23.0
140.0,29.4,44.0,21.0
160.0,24.8,27.0,21.0
180.0,32.4,40.0,21.0
200.0,26.8,36.0,20.0
220.0,27.4,31.0,21.0
240.0,29.0,32.0,25.0
260.0,28.4,31.0,26.0
280.0,30.4,45.0,25.0
300.0,32.8,48.0,22.0
320.0,31.0,37.0,25.0
340.0,30.0,37.0,22.0
360.0,41.6,69.0,26.0
380.0,31.0,34.0,22.0
400.0,36.8,59.0,22.0
420.0,31.2,36.0,25.0
440.0,29.0,33.0,24.0
460.0,31.2,46.0,23.0
480.0,44.0,63.0,31.0
500.0,42.2,56.0,31.0
520.0,39.8,47.0,32.0
540.0,34.8,42.0,26.0
560.0,31.2,37.0,28.0
580.0,47.0,58.0,28.0
600.0,46.0,71.0,35.0
