episodes_,mean_,max_,min_
20.0,26.0,30.0,23.0
40.0,24.2,29.0,21.0
60.0,26.4,30.0,22.0
80.0,25.2,34.0,19.0
100.0,25.6,31.0,17.0
120.0,28.0,32.0,18.0
140.0,24.4,31.0,18.0
160.0,28.4,33.0,23.0
180.0,25.4,34.0,20.0
200.0,29.4,33.0,22.0
220.0,27.8,31.0,21.0
240.0,25.8,29.0,17.0
260.0,32.8,45.0,25.0
280.0,33.4,40.0,25.0
300.0,29.2,38.0,21.0
320.0,28.2,33.0,22.0
340.0,28.4,32.0,22.0
360.0,35.2,48.0,27.0
380.0,30.2,41.0,26.0
400.0,35.8,47.0,25.0
420.0,37.4,45.0,31.0
440.0,28.8,34.0,17.0
460.0,35.4,42.0,29.0
480.0,31.2,36.0,27.0
500.0,33.8,53.0,20.0
520.0,30.2,52.0,15.0
540.0,32.8,35.0,30.0
560.0,36.0,43.0,24.0
580.0,42.6,58.0,28.0
600.0,38.0,43.0,32.0
620.0,43.8,75.0,28.0
640.0,43.2,65.0,29.0
660.0,38.8,54.0,31.0
680.0,34.2,47.0,27.0
700.0,39.6,50.0,31.0
720.0,43.4,65.0,29.0
740.0,42.4,52.0,29.0
760.0,55.2,67.0,33.0
780.0,56.0,76.0,37.0
800.0,58.4,90.0,28.0
820.0,35.8,51.0,25.0
840.0,55.0,75.0,37.0
860.0,50.4,66.0,38.0
880.0,58.6,95.0,40.0
900.0,46.2,58.0,33.0
920.0,54.4,64.0,47.0
940.0,45.8,59.0,28.0
960.0,73.4,110.0,40.0
980.0,50.8,92.0,21.0
1000.0,47.4,96.0,26.0
1020.0,60.2,102.0,21.0
1040.0,62.4,87.0,37.0
1060.0,78.2,116.0,49.0
1080.0,75.8,104.0,46.0
1100.0,87.0,142.0,45.0
1120.0,78.4,105.0,41.0
1140.0,61.6,69.0,41.0
1160.0,96.8,135.0,33.0
1180.0,111.8,193.0,37.0
1200.0,67.0,92.0,51.0
1220.0,88.0,123.0,57.0
1240.0,114.0,222.0,45.0
1260.0,93.0,130.0,52.0
1280.0,109.2,209.0,24.0
1300.0,103.4,192.0,39.0
1320.0,140.6,224.0,93.0
1340.0,101.0,234.0,40.0
1360.0,166.6,246.0,69.0
1380.0,183.0,271.0,89.0
1400.0,161.6,285.0,35.0
1420.0,118.6,184.0,30.0
1440.0,161.2,284.0,50.0
1460.0,214.4,331.0,119.0
1480.0,135.4,243.0,43.0
1500.0,245.4,534.0,77.0
1520.0,296.4,473.0,162.0
1540.0,314.0,409.0,192.0
1560.0,349.6,436.0,258.0
1580.0,424.6,511.0,297.0
1600.0,306.8,449.0,80.0
1620.0,478.8,648.0,336.0
1640.0,548.6,795.0,221.0
1660.0,836.6,1575.0,358.0
1680.0,708.8,1299.0,136.0
1700.0,834.2,1400.0,496.0
1720.0,498.4,1100.0,36.0
1740.0,886.8,1661.0,450.0
1760.0,760.8,1151.0,458.0
1780.0,713.0,1385.0,286.0
1800.0,690.4,1074.0,363.0
1820.0,532.6,1588.0,33.0
1840.0,433.0,647.0,247.0
1860.0,966.8,1588.0,575.0
1880.0,713.4,1134.0,312.0
1900.0,799.8,1550.0,537.0
1920.0,352.2,638.0,28.0
1940.0,801.4,1424.0,312.0
