episodes_,mean_,max_,min_
20.0,26.4,28.0,25.0
40.0,27.4,33.0,19.0
60.0,28.4,43.0,19.0
80.0,25.0,30.0,20.0
100.0,26.2,38.0,21.0
120.0,32.6,45.0,24.0
140.0,26.8,32.0,20.0
160.0,32.2,47.0,21.0
180.0,26.8,32.0,22.0
200.0,27.2,37.0,20.0
220.0,29.2,34.0,22.0
240.0,30.2,39.0,23.0
260.0,33.2,48.0,24.0
280.0,32.6,48.0,20.0
300.0,28.0,40.0,22.0
320.0,30.8,35.0,25.0
340.0,29.6,46.0,23.0
360.0,25.8,29.0,21.0
380.0,33.0,42.0,24.0
400.0,40.0,51.0,34.0
420.0,30.2,36.0,28.0
440.0,37.8,72.0,27.0
460.0,35.6,57.0,27.0
480.0,35.4,44.0,29.0
500.0,32.4,36.0,24.0
520.0,37.8,61.0,22.0
540.0,32.6,50.0,25.0
560.0,36.8,48.0,32.0
580.0,48.2,65.0,31.0
600.0,28.8,36.0,22.0
620.0,45.2,65.0,32.0
640.0,38.8,50.0,34.0
660.0,36.6,56.0,24.0
680.0,42.0,62.0,30.0
700.0,49.2,73.0,34.0
720.0,36.6,49.0,30.0
740.0,37.8,50.0,28.0
760.0,42.8,59.0,34.0
780.0,59.2,80.0,44.0
800.0,38.0,53.0,29.0
820.0,44.0,77.0,28.0
840.0,37.0,49.0,23.0
860.0,49.0,62.0,38.0
880.0,59.6,90.0,38.0
900.0,41.4,54.0,36.0
920.0,51.6,64.0,35.0
940.0,62.0,75.0,53.0
960.0,48.6,77.0,28.0
980.0,93.4,131.0,44.0
1000.0,72.0,93.0,40.0
1020.0,54.2,69.0,35.0
1040.0,59.4,76.0,48.0
1060.0,72.4,92.0,39.0
1080.0,64.0,102.0,39.0
1100.0,84.0,155.0,35.0
1120.0,59.2,84.0,33.0
1140.0,91.2,131.0,61.0
1160.0,86.4,166.0,63.0
1180.0,96.8,228.0,53.0
1200.0,100.2,159.0,30.0
1220.0,82.2,133.0,26.0
1240.0,94.6,155.0,53.0
1260.0,90.6,117.0,41.0
1280.0,83.8,113.0,52.0
1300.0,142.0,171.0,109.0
1320.0,158.2,235.0,102.0
1340.0,100.2,147.0,42.0
1360.0,219.4,394.0,82.0
1380.0,143.2,235.0,92.0
1400.0,87.8,197.0,30.0
1420.0,192.0,272.0,36.0
1440.0,216.2,386.0,117.0
1460.0,177.4,335.0,63.0
1480.0,200.6,394.0,31.0
1500.0,347.6,762.0,123.0
1520.0,315.8,398.0,50.0
1540.0,356.0,823.0,64.0
1560.0,223.8,548.0,34.0
1580.0,349.6,662.0,191.0
1600.0,493.4,673.0,350.0
