episodes_,mean_,max_,min_
20.0,30.2,40.0,23.0
40.0,24.2,31.0,20.0
60.0,25.0,29.0,20.0
80.0,30.4,35.0,23.0
100.0,26.2,34.0,23.0
120.0,22.0,24.0,20.0
140.0,23.0,29.0,19.0
160.0,27.6,29.0,24.0
180.0,25.0,29.0,17.0
200.0,25.4,28.0,22.0
220.0,24.8,30.0,22.0
240.0,23.0,27.0,20.0
260.0,24.2,27.0,20.0
280.0,25.4,28.0,23.0
300.0,26.6,35.0,20.0
320.0,24.2,29.0,18.0
340.0,25.6,30.0,21.0
360.0,23.4,27.0,20.0
380.0,21.6,24.0,20.0
400.0,20.8,24.0,17.0
420.0,25.6,28.0,23.0
440.0,24.0,27.0,17.0
460.0,22.6,28.0,19.0
480.0,21.6,24.0,20.0
500.0,22.2,28.0,18.0
520.0,20.6,25.0,17.0
540.0,21.2,24.0,17.0
560.0,21.2,24.0,16.0
580.0,23.2,26.0,21.0
600.0,22.4,28.0,18.0
620.0,23.6,26.0,20.0
640.0,20.6,24.0,17.0
660.0,23.6,26.0,22.0
680.0,21.2,23.0,20.0
700.0,20.2,22.0,18.0
720.0,22.4,29.0,19.0
740.0,18.6,21.0,16.0
760.0,20.0,21.0,17.0
780.0,20.0,22.0,18.0
800.0,21.0,24.0,17.0
820.0,19.2,21.0,17.0
840.0,20.0,26.0,17.0
860.0,19.2,23.0,17.0
